,Station,Code
31,KIPLING STATION,4900
22,FINCH STATION,3562
62,WARDEN STATION,2896
64,WILSON STATION,2655
19,EGLINTON STATION,2591
26,ISLINGTON STATION,2582
28,KEELE STATION,2580
61,VICTORIA PARK STATION,2566
4,BLOOR STATION,2404
56,ST CLAIR WEST STATION,1957
10,COXWELL STATION,1950
27,JANE STATION,1915
11,DAVISVILLE STATION,1725
34,LAWRENCE STATION,1599
67,YORK MILLS STATION,1486
24,GREENWOOD STATION,1440
60,UNION STATION,1365
20,EGLINTON WEST STATION,1357
41,OLD MILL STATION,1311
50,SHEPPARD STATION,1304
17,DUNDAS WEST STATION,1263
55,ST CLAIR STATION,1221
16,DUNDAS STATION,1190
18,DUPONT STATION,1163
8,CHRISTIE STATION,1157
