subway_latitude,subway_longitude,Station
43.75005381,-79.46234274,Downsview station
43.73458062,-79.44992871,Wilson station
43.72481302,-79.44750946,Yorkdale station
43.71638143,-79.44402915,Lawrence West station
43.70981996,-79.44152842,Glencairn station
43.69899665,-79.43598953,Eglinton West station
43.68435203,-79.41453588,St Clair West station
43.67490988,-79.40725667,Dupont station
43.66771459,-79.40375197,Spadina station
43.66831877,-79.39867229,St George station
43.66717707,-79.39350223,Museum station
43.65970495,-79.39034904,Queen's Park station
43.65461164,-79.38829598,St Patrick station
43.65087411,-79.38661732,Osgoode station
43.64764565,-79.38513048,St Andrew station
43.64572267,-79.38046226,Union station
43.64912088,-79.37804513,King station
43.65234651,-79.3793265,Queen station
43.65613653,-79.38072965,Dundas station
43.66122997,-79.38278217,College station
43.66518294,-79.38377079,Wellesley station
43.670672,-79.38595009,Bloor station
43.67690095,-79.38872589,Rosedale station
43.68245,-79.39117824,Summerhill station
43.68816298,-79.39328435,St Clair station
43.69812339,-79.39733141,Davisville station
43.70664584,-79.39915846,Eglinton station
43.72542192,-79.40187758,Lawrence station
43.74499592,-79.40533068,York Mills station
43.76167434,-79.41098715,Sheppard station
43.76924125,-79.4129116,North York Centre station
43.78149012,-79.41567261,Finch station
43.73219165,-79.26569632,Kennedy station
43.7502148,-79.27090721,Lawrence East station
43.76722615,-79.27731467,Ellesmere station
43.77016839,-79.27248232,Midland station
43.77384411,-79.25786316,Scarborough Centre station
43.77551255,-79.25154339,McCowan station
43.63802031,-79.53638812,Kipling station
43.64595008,-79.52394798,Islington station
43.64880444,-79.51154051,Royal York station
43.65057649,-79.49522499,Old Mill station
43.65029127,-79.48477178,Jane station
43.65216695,-79.47649916,Runnymede station
43.65459423,-79.46552962,High Park station
43.65570079,-79.46031548,Keele station
43.65714206,-79.45267843,Dundas West station
43.65914292,-79.44296991,Lansdowne station
43.6606651,-79.4359558,Dufferin station
43.66266333,-79.42615682,Ossington station
43.66425178,-79.41869303,Christie station
43.66599176,-79.41158255,Bathurst station
43.66764776,-79.4037584,Spadina station
43.66831164,-79.39864323,St George station
43.67040029,-79.39027029,Bay station
43.67070606,-79.38587981,Yonge station
43.67234508,-79.37698161,Sherbourne station
43.67414063,-79.36879416,Castle Frank station
43.67686172,-79.35852385,Broadview station
43.67837735,-79.35141628,Chester station
43.67968493,-79.34520853,Pape station
43.68105008,-79.33792557,Donlands station
43.68270361,-79.33027644,Greenwood station
43.68414917,-79.32352724,Coxwell station
43.6863529,-79.31335711,Woodbine station
43.68891661,-79.30272876,Main Street station
43.69432082,-79.29031894,Victoria Park station
43.71224201,-79.27898037,Warden station
43.73211815,-79.26569845,Kennedy station
43.76161811,-79.41098864,Sheppard-Yonge station
43.76725222,-79.38739865,Bayview station
43.76912679,-79.37672419,Bessarion station
43.77113245,-79.36741635,Leslie station
43.77556464,-79.34693642,Don Mills station
